Zomato_ID;Yelp_ID;Match
6;2862;TRUE
2625;1173;TRUE
2723;1131;TRUE
2701;1297;TRUE
2685;1249;TRUE
2670;1281;TRUE
2647;1465;TRUE
2636;1402;TRUE
2624;1839;TRUE
2742;1064;TRUE
2613;1246;TRUE
2600;1176;TRUE
2587;1950;TRUE
2581;1577;TRUE
2580;1853;TRUE
2570;1321;TRUE
2736;1441;TRUE
2744;1621;TRUE
2529;1476;TRUE
2861;1415;TRUE
2909;1267;TRUE
2906;1431;TRUE
2903;1284;TRUE
2902;1419;TRUE
2893;1378;TRUE
2870;1327;TRUE
2857;1611;TRUE
2746;1073;TRUE
2837;1695;TRUE
2834;1209;TRUE
2816;1573;TRUE
2806;1711;TRUE
2798;1756;TRUE
2781;1145;TRUE
2550;1685;TRUE
2516;1824;TRUE
2947;1289;TRUE
2273;8897;TRUE
2304;8313;TRUE
2303;7950;TRUE
2302;8452;TRUE
2289;8886;TRUE
2283;8307;TRUE
2282;8084;TRUE
2271;7998;TRUE
2309;8301;TRUE
2262;8393;TRUE
2254;8098;TRUE
2253;8559;TRUE
2227;7954;TRUE
2224;8596;TRUE
2223;8173;TRUE
2308;8065;TRUE
2315;8200;TRUE
2511;1410;TRUE
2426;1354;TRUE
2461;1878;TRUE
2459;1815;TRUE
2455;1937;TRUE
2447;1799;TRUE
2430;1877;TRUE
2427;1777;TRUE
2422;1868;TRUE
2348;1379;TRUE
2400;1013;TRUE
2384;1170;TRUE
2371;1599;TRUE
2368;1904;TRUE
2365;1059;TRUE
2355;1374;TRUE
2919;1806;TRUE
2969;1757;TRUE
3618;1732;TRUE
3473;1766;TRUE
3500;1351;TRUE
3497;1880;TRUE
3496;1580;TRUE
3487;1371;TRUE
3481;1975;TRUE
3478;1836;TRUE
3472;1433;TRUE
3505;1764;TRUE
3469;1851;TRUE
3467;1593;TRUE
3466;1126;TRUE
3461;1596;TRUE
3443;1808;TRUE
3426;1638;TRUE
3502;1114;TRUE
3507;1675;TRUE
3393;1587;TRUE
3583;1031;TRUE
3607;1858;TRUE
3602;1119;TRUE
3600;1350;TRUE
3597;1381;TRUE
3592;1034;TRUE
3589;1592;TRUE
3582;1047;TRUE
3512;1405;TRUE
1757;8687;TRUE
1566;8503;TRUE
2169;8888;TRUE
2131;8513;TRUE
1824;8492;TRUE
1683;8294;TRUE
2235;8604;TRUE
2122;8543;TRUE
2462;1949;TRUE
1454;8778;TRUE
1865;8241;TRUE
