"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatotLevenshtein record1Value","[0] RestaurantNameComparatotLevenshtein record2Value","[0] RestaurantNameComparatotLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatotLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatotLevenshtein similarity","[0] RestaurantNameComparatotLevenshtein postproccesedSimilarity","[1] RestaurantAddressComparatorLevenshtein record1Value","[1] RestaurantAddressComparatorLevenshtein record2Value","[1] RestaurantAddressComparatorLevenshtein record1PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein record2PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein similarity","[1] RestaurantAddressComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato_5838","yelp_993","0.08932806324110676",,"pazza notte","fette sau","pazza notte","fette sau","0.09090909090909094","0.09090909090909094","1375 avenue americas","354 metropolitan avenue","1375 avenue americas","354 metropolitan avenue","0.08695652173913049","0.08695652173913049"
"LinearCombinationMatchingRule","zomato_5838","yelp_992","0.19846153846153847",,"pazza notte","tanner smiths","pazza notte","tanner smiths","0.23076923076923073","0.23076923076923073","1375 avenue americas","204 w 55 street","1375 avenue americas","204 w 55 street","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","zomato_1395","yelp_2404","0.16381578947368422",,"berghoff cafe","tamale spaceship","berghoff cafe","tamale spaceship","0.0625","0.0625","17 w adams street","1341 n damen avenue","17 w adams street","1341 n damen avenue","0.3157894736842105","0.3157894736842105"
"LinearCombinationMatchingRule","zomato_95","yelp_2453","0.44727272727272727",,"mythos greek taverna","la brasa roja","mythos greek taverna","la brasa roja","0.19999999999999996","0.19999999999999996","2032 w montrose avenue","3125 w montrose avenue","2032 w montrose avenue","3125 w montrose avenue","0.8181818181818181","0.8181818181818181"
"LinearCombinationMatchingRule","zomato_4121","yelp_1305","0.30740740740740746",,"feed body soul","marlo polo burgers","feed body soul","marlo polo burgers","0.16666666666666663","0.16666666666666663","1239 abbot kinney boulevard","4632 santa monica boulevard","1239 abbot kinney boulevard","4632 santa monica boulevard","0.5185185185185186","0.5185185185185186"
"LinearCombinationMatchingRule","zomato_7374","yelp_537","0.19210526315789472",,"amici ii","jonny panini nyc","amici ii","jonny panini nyc","0.25","0.25","165 mulberry street","423 9th avenue","165 mulberry street","423 9th avenue","0.10526315789473684","0.10526315789473684"
"LinearCombinationMatchingRule","zomato_738","yelp_2809","0.14909090909090908",,"pompei","jinya ramen bar","pompei","jinya ramen bar","0.06666666666666665","0.06666666666666665","1531 w taylor street","553 w diversey parkway","1531 w taylor street","553 w diversey parkway","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","zomato_2074","yelp_7978","0.17828571428571427",,"bistro n","whiskers fish burgers","bistro n","whiskers fish burgers","0.19047619047619047","0.19047619047619047","8687 n central expressway","1702 singleton boulevard","8687 n central expressway","1702 singleton boulevard","0.16000000000000003","0.16000000000000003"
"LinearCombinationMatchingRule","zomato_6194","yelp_744","0.2648809523809524",,"dorrian red hand","islands","dorrian red hand","islands","0.1875","0.1875","1616 2nd avenue","803 washington avenue","1616 2nd avenue","803 washington avenue","0.38095238095238093","0.38095238095238093"
"LinearCombinationMatchingRule","zomato_574","yelp_2635","0.2261904761904762",,"bar siena","chef luciano","bar siena","chef luciano","0.25","0.25","832 w randolph street","49 e cermak road","832 w randolph street","49 e cermak road","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","zomato_3320","yelp_1089","0.1523809523809524",,"little siam","zankou chicken","little siam","zankou chicken","0.1428571428571429","0.1428571428571429","22811 saticoy street","1716 sepulveda boulevard","22811 saticoy street","1716 sepulveda boulevard","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","zomato_3351","yelp_1931","0.1932258064516129",,"sweet cherries diner","baltaire","sweet cherries diner","baltaire","0.15000000000000002","0.15000000000000002","8236 foothill boulevard sunland","11647 san vicente boulevard","8236 foothill boulevard sunland","11647 san vicente boulevard","0.25806451612903225","0.25806451612903225"
"LinearCombinationMatchingRule","zomato_2714","yelp_1870","0.20325925925925925",,"boiling crab","rocco italian market deli","boiling crab","rocco italian market deli","0.24","0.24","3377 wilshire boulevard 115","1761 n vermont","3377 wilshire boulevard 115","1761 n vermont","0.14814814814814814","0.14814814814814814"
"LinearCombinationMatchingRule","zomato_2812","yelp_1979","0.31929824561403514",,"mr churro","langer","mr churro","langer","0.11111111111111116","0.11111111111111116","12 olvera street","704 alvarado street","12 olvera street","704 alvarado street","0.631578947368421","0.631578947368421"
"LinearCombinationMatchingRule","zomato_2812","yelp_1978","0.1947712418300654",,"mr churro","yook cal bop sang","mr churro","yook cal bop sang","0.17647058823529416","0.17647058823529416","12 olvera street","859 western avenue","12 olvera street","859 western avenue","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","zomato_2714","yelp_1871","0.135042735042735",,"boiling crab","la pergoletta","boiling crab","la pergoletta","0.07692307692307687","0.07692307692307687","3377 wilshire boulevard 115","1802 hillhurst avenue","3377 wilshire boulevard 115","1802 hillhurst avenue","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","zomato_6252","yelp_819","0.36",,"campagnola","fat buddha","campagnola","fat buddha","0.19999999999999996","0.19999999999999996","1382 1st avenue","212 avenue","1382 1st avenue","212 avenue","0.6","0.6"
"LinearCombinationMatchingRule","zomato_3244","yelp_1824","0.24761904761904766",,"habit burger grill","churros calientes","habit burger grill","churros calientes","0.05555555555555558","0.05555555555555558","22651 ventura boulevard","11521 santa monica boulevard","22651 ventura boulevard","11521 santa monica boulevard","0.5357142857142857","0.5357142857142857"
"LinearCombinationMatchingRule","zomato_6068","yelp_612","0.19184952978056424",,"sushi azabu","red cat","sushi azabu","red cat","0.18181818181818177","0.18181818181818177","428 greenwich street basement","227 10th avenue","428 greenwich street basement","227 10th avenue","0.2068965517241379","0.2068965517241379"
"LinearCombinationMatchingRule","zomato_3400","yelp_1144","0.09924812030075186",,"mauro cafe fred segal","ziran","mauro cafe fred segal","ziran","0.09523809523809523","0.09523809523809523","8112 melrose avenue","333 figueroa street","8112 melrose avenue","333 figueroa street","0.10526315789473684","0.10526315789473684"
"LinearCombinationMatchingRule","zomato_7362","yelp_501","0.12571428571428572",,"spitzer corner","king kitchen","spitzer corner","king kitchen","0.1428571428571429","0.1428571428571429","101 rivington street","92 e broadway","101 rivington street","92 e broadway","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","zomato_3400","yelp_1145","0.2952380952380953",,"mauro cafe fred segal","little dom","mauro cafe fred segal","little dom","0.1428571428571429","0.1428571428571429","8112 melrose avenue","2128 hillhurst avenue","8112 melrose avenue","2128 hillhurst avenue","0.5238095238095238","0.5238095238095238"
"LinearCombinationMatchingRule","zomato_3271","yelp_1853","0.392156862745098",,"artisan house","cassell hamburgers","artisan house","cassell hamburgers","0.2222222222222222","0.2222222222222222","600 main street","3600 w 6th street","600 main street","3600 w 6th street","0.6470588235294117","0.6470588235294117"
"LinearCombinationMatchingRule","zomato_3262","yelp_1862","0.17436974789915966",,"buttercelli organic bakeshop","pot","buttercelli organic bakeshop","pot","0.0357142857142857","0.0357142857142857","13722 ventura boulevard","line hotel 3515 wilshire boulevard","13722 ventura boulevard","line hotel 3515 wilshire boulevard","0.38235294117647056","0.38235294117647056"
"LinearCombinationMatchingRule","zomato_7367","yelp_506","0.24736842105263157",,"baohaus","mirch masala","baohaus","mirch masala","0.16666666666666663","0.16666666666666663","238 e 14th street","95 macdougal street","238 e 14th street","95 macdougal street","0.368421052631579","0.368421052631579"
"LinearCombinationMatchingRule","zomato_968","yelp_2190","0.06000000000000001",,,"corned beef factory sandwich shop",,"corned beef factory sandwich shop","0.0","0.0","1234 michigan avenue","1009 w lake street","1234 michigan avenue","1009 w lake street","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","zomato_7243","yelp_400","0.1428571428571429",,"bryant park grill","yogi korean bbq tacos","bryant park grill","yogi korean bbq tacos","0.1428571428571429","0.1428571428571429","bryant park 25 w 40th street","49th street third avenue","bryant park 25 w 40th street","49th street third avenue","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_3364","yelp_1966","0.16289592760180996",,"tip top hamburger","la cevicheria","tip top hamburger","la cevicheria","0.11764705882352944","0.11764705882352944","8612 woodman avenue arleta","3809 w pico boulevard","8612 woodman avenue arleta","3809 w pico boulevard","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","zomato_6714","yelp_434","0.17714285714285713",,"flat top","taquitoria","flat top","taquitoria","0.19999999999999996","0.19999999999999996","1241 amsterdam avenue","168 ludlow street","1241 amsterdam avenue","168 ludlow street","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_6714","yelp_435","0.09809523809523808",,"flat top","pause cafe","flat top","pause cafe","0.09999999999999998","0.09999999999999998","1241 amsterdam avenue","3 clinton street","1241 amsterdam avenue","3 clinton street","0.09523809523809523","0.09523809523809523"
"LinearCombinationMatchingRule","zomato_3718","yelp_1488","0.14800759013282738",,"katsuya","el camaron pelado","katsuya","el camaron pelado","0.11764705882352944","0.11764705882352944","800 w olympic boulevard ste 118","2676 pasadena avenue","800 w olympic boulevard ste 118","2676 pasadena avenue","0.19354838709677424","0.19354838709677424"
"LinearCombinationMatchingRule","zomato_1522","yelp_7988","0.17719298245614035",,"mansion restaurant rosewood mansion turtle creek","people last stand","mansion restaurant rosewood mansion turtle creek","people last stand","0.16666666666666663","0.16666666666666663","rosewood mansion turtle creek 2821 turtle creek boulevard","5319 e mockingbird lane ste 210","rosewood mansion turtle creek 2821 turtle creek boulevard","5319 e mockingbird lane ste 210","0.19298245614035092","0.19298245614035092"
"LinearCombinationMatchingRule","zomato_1522","yelp_7987","0.1326754385964912",,"mansion restaurant rosewood mansion turtle creek","velvet taco","mansion restaurant rosewood mansion turtle creek","velvet taco","0.10416666666666663","0.10416666666666663","rosewood mansion turtle creek 2821 turtle creek boulevard","3012 n henderson avenue","rosewood mansion turtle creek 2821 turtle creek boulevard","3012 n henderson avenue","0.17543859649122806","0.17543859649122806"
"LinearCombinationMatchingRule","zomato_3262","yelp_1863","0.2997354497354498",,"buttercelli organic bakeshop","sunny blue","buttercelli organic bakeshop","sunny blue","0.1785714285714286","0.1785714285714286","13722 ventura boulevard","12608a washington boulevard","13722 ventura boulevard","12608a washington boulevard","0.4814814814814815","0.4814814814814815"
"LinearCombinationMatchingRule","zomato_3257","yelp_1859","0.08872180451127824",,"victors square restaurant delicatessen","cup","victors square restaurant delicatessen","cup","0.052631578947368474","0.052631578947368474","1917 n bronson avenue","3782 figueroa street","1917 n bronson avenue","3782 figueroa street","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_6668","yelp_397","0.2690537084398977",,"john pizza times square","cafe katja","john pizza times square","cafe katja","0.17391304347826086","0.17391304347826086","260 w 44th street","79 orchard street","260 w 44th street","79 orchard street","0.4117647058823529","0.4117647058823529"
"LinearCombinationMatchingRule","zomato_6668","yelp_396","0.20772946859903385",,"john pizza times square","beso","john pizza times square","beso","0.08695652173913049","0.08695652173913049","260 w 44th street","11 schuyler street","260 w 44th street","11 schuyler street","0.38888888888888884","0.38888888888888884"
"LinearCombinationMatchingRule","zomato_3745","yelp_1493","0.2",,"trastevere","wiki poki","trastevere","wiki poki","0.0","0.0","6801 hollywood boulevard","3438 wilshire boulevard","6801 hollywood boulevard","3438 wilshire boulevard","0.5","0.5"
"LinearCombinationMatchingRule","zomato_7283","yelp_452","0.13073593073593076",,"essex","turntable chicken jazz","essex","turntable chicken jazz","0.09090909090909094","0.09090909090909094","120 essex street","314 5th avenue 2nd fl","120 essex street","314 5th avenue 2nd fl","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","zomato_667","yelp_2730","0.275",,"meli cafe","folklore argentine grill","meli cafe","folklore argentine grill","0.125","0.125","540 n wells street","2100 w division street","540 n wells street","2100 w division street","0.5","0.5"
"LinearCombinationMatchingRule","zomato_3914","yelp_1689","0.12173913043478264",,"bowery","market place restaurant","bowery","market place restaurant","0.08695652173913049","0.08695652173913049","6268 w sunset boulevard","1102 lawrence street","6268 w sunset boulevard","1102 lawrence street","0.17391304347826086","0.17391304347826086"
"LinearCombinationMatchingRule","zomato_7283","yelp_453","0.1423076923076923",,"essex","la cerveceria","essex","la cerveceria","0.15384615384615385","0.15384615384615385","120 essex street","65 2nd avenue","120 essex street","65 2nd avenue","0.125","0.125"
"LinearCombinationMatchingRule","zomato_3825","yelp_1596","0.3024844720496895",,"les sisters southern kitchen","soot bull jeep","les sisters southern kitchen","soot bull jeep","0.2142857142857143","0.2142857142857143","21818 devonshire street","3136 w 8th street","21818 devonshire street","3136 w 8th street","0.4347826086956522","0.4347826086956522"
"LinearCombinationMatchingRule","zomato_3825","yelp_1597","0.2636645962732919",,"les sisters southern kitchen","pizza studio","les sisters southern kitchen","pizza studio","0.1785714285714286","0.1785714285714286","21818 devonshire street","3584 figueroa street","21818 devonshire street","3584 figueroa street","0.3913043478260869","0.3913043478260869"
"LinearCombinationMatchingRule","zomato_3311","yelp_1050","0.266304347826087",,"silverlake ramen","carving board","silverlake ramen","carving board","0.125","0.125","2927 w sunset boulevard","11676 gateway boulevard","2927 w sunset boulevard","11676 gateway boulevard","0.4782608695652174","0.4782608695652174"
"LinearCombinationMatchingRule","zomato_4079","yelp_1234","0.33578595317725757",,"rambutan thai","king taco","rambutan thai","king taco","0.15384615384615385","0.15384615384615385","2835 w sunset boulevard","2020 w pico boulevard","2835 w sunset boulevard","2020 w pico boulevard","0.6086956521739131","0.6086956521739131"
"LinearCombinationMatchingRule","zomato_458","yelp_2513","0.443609022556391",,"new york delicatessen","bridge house tavern","new york delicatessen","bridge house tavern","0.1428571428571429","0.1428571428571429","2921 n clark street","321 n clark street","2921 n clark street","321 n clark street","0.8947368421052632","0.8947368421052632"
"LinearCombinationMatchingRule","zomato_7288","yelp_445","0.24000000000000002",,"pete tavern","yakitori taisho","pete tavern","yakitori taisho","0.2666666666666667","0.2666666666666667","129 east 18th street","5 saint marks place","129 east 18th street","5 saint marks place","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","zomato_7288","yelp_444","0.29454545454545455",,"pete tavern","coppelia","pete tavern","coppelia","0.09090909090909094","0.09090909090909094","129 east 18th street","207 w 14th street","129 east 18th street","207 w 14th street","0.6","0.6"
"LinearCombinationMatchingRule","zomato_3239","yelp_1831","0.2823529411764706",,"homegirl cafe","yellow house cafe","homegirl cafe","yellow house cafe","0.3529411764705882","0.3529411764705882","130 bruno street","234 oxford avenue","130 bruno street","234 oxford avenue","0.17647058823529416","0.17647058823529416"
"LinearCombinationMatchingRule","zomato_3239","yelp_1830","0.3423076923076923",,"homegirl cafe","escondite","homegirl cafe","escondite","0.15384615384615385","0.15384615384615385","130 bruno street","410 boyd street","130 bruno street","410 boyd street","0.625","0.625"
"LinearCombinationMatchingRule","zomato_2621","yelp_1781","0.20592885375494074",,"mazzarino italian food","yangji gamjatang","mazzarino italian food","yangji gamjatang","0.2272727272727273","0.2272727272727273","12920 riverside drive","3470 w 6th street ste 6","12920 riverside drive","3470 w 6th street ste 6","0.17391304347826086","0.17391304347826086"
"LinearCombinationMatchingRule","zomato_3629","yelp_1395","0.37443609022556396",,"doughboys cafe bakery","dino burgers","doughboys cafe bakery","dino burgers","0.23809523809523814","0.23809523809523814","8136 w third street","2817 n main street","8136 w third street","2817 n main street","0.5789473684210527","0.5789473684210527"
"LinearCombinationMatchingRule","zomato_1790","yelp_8701","0.3834482758620689",,"fish city grill","deli news","fish city grill","deli news","0.1333333333333333","0.1333333333333333","10720 preston road suite 1012","17062 preston road ste 100","10720 preston road suite 1012","17062 preston road ste 100","0.7586206896551724","0.7586206896551724"
"LinearCombinationMatchingRule","zomato_850","yelp_2928","0.12030075187969926",,"signature room 95th","drew halsted","signature room 95th","drew halsted","0.10526315789473684","0.10526315789473684","875 n michigan avenue","3201 n halsted street","875 n michigan avenue","3201 n halsted street","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","zomato_7248","yelp_404","0.31764705882352945",,"fanelli cafe","cheeky sandwiches","fanelli cafe","cheeky sandwiches","0.17647058823529416","0.17647058823529416","94 prince street","35 orchard street","94 prince street","35 orchard street","0.5294117647058824","0.5294117647058824"
"LinearCombinationMatchingRule","zomato_3066","yelp_1661","0.2837528604118994",,"mama secret bakery cafe","dong ii jang restaurant","mama secret bakery cafe","dong ii jang restaurant","0.08695652173913049","0.08695652173913049","8314 w third street","3455 w 8th street","8314 w third street","3455 w 8th street","0.5789473684210527","0.5789473684210527"
"LinearCombinationMatchingRule","zomato_6742","yelp_499","0.1621052631578947",,"novita","barboncino","novita","barboncino","0.19999999999999996","0.19999999999999996","102 e 22nd street","781 franklin avenue","102 e 22nd street","781 franklin avenue","0.10526315789473684","0.10526315789473684"
"LinearCombinationMatchingRule","zomato_7248","yelp_405","0.3",,"fanelli cafe","luke lobster","fanelli cafe","luke lobster","0.16666666666666663","0.16666666666666663","94 prince street","11 water street","94 prince street","11 water street","0.5","0.5"
"LinearCombinationMatchingRule","zomato_3155","yelp_1754","0.14942528735632185",,"rosalind ethiopian restaurant","mapo galbi","rosalind ethiopian restaurant","mapo galbi","0.13793103448275867","0.13793103448275867","1044 fairfax avenue","3090 w olympic boulevard","1044 fairfax avenue","3090 w olympic boulevard","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","zomato_3155","yelp_1755","0.45843920145190564",,"rosalind ethiopian restaurant","blair restaurant","rosalind ethiopian restaurant","blair restaurant","0.4482758620689655","0.4482758620689655","1044 fairfax avenue","2903 rowena avenue","1044 fairfax avenue","2903 rowena avenue","0.4736842105263158","0.4736842105263158"
"LinearCombinationMatchingRule","zomato_6525","yelp_271","0.30197368421052634",,"maison kayser","peaches hothouse","maison kayser","peaches hothouse","0.1875","0.1875","1294 third avenue","415 tompkins avenue","1294 third avenue","415 tompkins avenue","0.4736842105263158","0.4736842105263158"
"LinearCombinationMatchingRule","zomato_6525","yelp_270","0.1303643724696356",,"maison kayser","cuba","maison kayser","cuba","0.07692307692307687","0.07692307692307687","1294 third avenue","222 thompson street","1294 third avenue","222 thompson street","0.21052631578947367","0.21052631578947367"
