"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorJaccard record1Value","[0] RestaurantNameComparatorJaccard record2Value","[0] RestaurantNameComparatorJaccard record1PreprocessedValue","[0] RestaurantNameComparatorJaccard record2PreprocessedValue","[0] RestaurantNameComparatorJaccard similarity","[0] RestaurantNameComparatorJaccard postproccesedSimilarity","[1] RestaurantAddressComparatorJaccard record1Value","[1] RestaurantAddressComparatorJaccard record2Value","[1] RestaurantAddressComparatorJaccard record1PreprocessedValue","[1] RestaurantAddressComparatorJaccard record2PreprocessedValue","[1] RestaurantAddressComparatorJaccard similarity","[1] RestaurantAddressComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato677","yellow_7648","0.0",,"butcher & the burger","gosu","butcher & the burger","gosu","0.0","0.0","1021 w. armitage avenue","2515 n california ave","1021 w. armitage avenue","2515 n california ave","0.0","0.0"
"LinearCombinationMatchingRule","zomato676","yellow_7646","0.0",,"handlebar","pappa romeo's pizza","handlebar","pappa romeo's pizza","0.0","0.0","2311 w. north avenue","6730 n clark st","2311 w. north avenue","6730 n clark st","0.0","0.0"
"LinearCombinationMatchingRule","zomato677","yellow_7647","0.0",,"butcher & the burger","se'nse asian cuisine","butcher & the burger","se'nse asian cuisine","0.0","0.0","1021 w. armitage avenue","5701 n clark st","1021 w. armitage avenue","5701 n clark st","0.0","0.0"
"LinearCombinationMatchingRule","zomato880","yellow_7838","0.07142857142857142",,"swedish bakery","evergreen","swedish bakery","evergreen","0.0","0.0","5348 n. clark street","312 n may st","5348 n. clark street","312 n may st","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","zomato674","yellow_7643","0.07142857142857142",,"park grill","la cocina de frida","park grill","la cocina de frida","0.0","0.0","11 n. michigan avenue","5403 n clark st","11 n. michigan avenue","5403 n clark st","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","zomato674","yellow_7642","0.0",,"park grill","eggy's","park grill","eggy's","0.0","0.0","11 n. michigan avenue","333 e benton pl ste 103","11 n. michigan avenue","333 e benton pl ste 103","0.0","0.0"
"LinearCombinationMatchingRule","zomato105","yellow_8519","0.07142857142857142",,"chief o'neill's","raw bar & grill","chief o'neill's","raw bar & grill","0.0","0.0","3471 n. elston avenue","3720 n clark st","3471 n. elston avenue","3720 n clark st","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","zomato105","yellow_8518","0.07142857142857142",,"chief o'neill's","staropolska restaurant","chief o'neill's","staropolska restaurant","0.0","0.0","3471 n. elston avenue","3030 n milwaukee ave","3471 n. elston avenue","3030 n milwaukee ave","0.14285714285714285","0.14285714285714285"
"LinearCombinationMatchingRule","zomato881","yellow_7839","0.0",,"mcdonald's","bob san restaurant","mcdonald's","bob san restaurant","0.0","0.0","600 n. clark street","1805 w division st","600 n. clark street","1805 w division st","0.0","0.0"
"LinearCombinationMatchingRule","zomato100","yellow_8515","0.0",,"vera chicago","toham african restaurant","vera chicago","toham african restaurant","0.0","0.0","1023 w. lake street","6351 n magnolia ave","1023 w. lake street","6351 n magnolia ave","0.0","0.0"
